Month of Observation,Median Home Price (NSA),Inflation Adjusted Price
1/1/53,"$18,080.26 ","$185,290.09 "
2/1/53,"$18,080.26 ","$185,638.51 "
3/1/53,"$18,080.26 ","$185,359.67 "
4/1/53,"$18,122.25 ","$185,372.49 "
5/1/53,"$18,143.25 ","$185,517.79 "
6/1/53,"$18,143.25 ","$185,032.68 "
7/1/53,"$18,185.25 ","$185,322.56 "
8/1/53,"$18,206.25 ","$185,121.96 "
9/1/53,"$18,227.25 ","$185,059.80 "
10/1/53,"$18,227.25 ","$184,647.79 "
11/1/53,"$18,206.25 ","$185,121.96 "
12/1/53,"$18,206.25 ","$184,984.17 "
1/1/54,"$18,206.25 ","$184,503.52 "
2/1/54,"$18,227.25 ","$184,374.14 "
3/1/54,"$18,227.25 ","$184,784.92 "
4/1/54,"$18,206.25 ","$185,053.04 "
5/1/54,"$18,206.25 ","$184,572.03 "
6/1/54,"$18,227.25 ","$184,716.33 "
7/1/54,"$18,290.25 ","$185,906.84 "
8/1/54,"$18,332.24 ","$186,403.04 "
9/1/54,"$18,374.24 ","$187,108.84 "
10/1/54,"$18,353.24 ","$187,524.50 "
11/1/54,"$18,353.24 ","$187,104.36 "
12/1/54,"$18,374.24 ","$187,388.42 "
1/1/55,"$18,395.24 ","$187,602.59 "
2/1/55,"$18,332.24 ","$186,611.54 "
3/1/55,"$18,290.25 ","$186,392.60 "
4/1/55,"$18,185.25 ","$185,322.56 "
5/1/55,"$18,185.25 ","$185,461.02 "
6/1/55,"$18,269.25 ","$186,736.22 "
7/1/55,"$18,332.24 ","$187,029.95 "
8/1/55,"$18,437.24 ","$188,382.78 "
9/1/55,"$18,479.24 ","$187,897.74 "
10/1/55,"$18,458.24 ","$187,894.15 "
11/1/55,"$18,416.24 ","$187,048.16 "
12/1/55,"$18,374.24 ","$186,691.03 "
1/1/56,"$18,332.24 ","$186,541.99 "
2/1/56,"$18,269.25 ","$185,693.39 "
3/1/56,"$18,206.25 ","$184,846.59 "
4/1/56,"$18,122.25 ","$183,720.45 "
5/1/56,"$18,143.25 ","$183,252.87 "
6/1/56,"$18,332.24 ","$184,343.33 "
7/1/56,"$18,479.24 ","$184,868.24 "
8/1/56,"$18,605.23 ","$185,992.35 "
9/1/56,"$18,584.23 ","$185,510.71 "
10/1/56,"$18,563.24 ","$184,223.46 "
11/1/56,"$18,521.24 ","$183,806.64 "
12/1/56,"$18,542.24 ","$183,215.85 "
1/1/57,"$18,605.23 ","$183,572.50 "
2/1/57,"$18,773.23 ","$184,363.92 "
3/1/57,"$18,773.23 ","$183,966.87 "
4/1/57,"$18,899.22 ","$184,737.34 "
5/1/57,"$18,962.22 ","$184,889.77 "
6/1/57,"$18,899.22 ","$183,554.39 "
7/1/57,"$18,899.22 ","$183,033.48 "
8/1/57,"$18,899.22 ","$182,450.98 "
9/1/57,"$18,962.22 ","$182,800.62 "
10/1/57,"$19,067.21 ","$183,812.75 "
11/1/57,"$19,067.21 ","$183,230.45 "
12/1/57,"$19,046.22 ","$182,643.01 "
1/1/58,"$19,067.21 ","$181,758.98 "
2/1/58,"$19,067.21 ","$181,378.99 "
3/1/58,"$19,235.21 ","$181,899.66 "
4/1/58,"$19,277.21 ","$181,855.90 "
5/1/58,"$19,319.20 ","$182,252.02 "
6/1/58,"$19,214.21 ","$181,449.67 "
7/1/58,"$19,214.21 ","$181,575.28 "
8/1/58,"$19,193.21 ","$181,063.46 "
9/1/58,"$19,130.21 ","$180,656.41 "
10/1/58,"$19,109.21 ","$180,458.10 "
11/1/58,"$19,151.21 ","$180,604.84 "
12/1/58,"$19,172.21 ","$180,678.06 "
1/1/59,"$19,130.21 ","$180,033.67 "
2/1/59,"$19,109.21 ","$179,898.06 "
3/1/59,"$19,109.21 ","$180,084.35 "
4/1/59,"$19,109.21 ","$180,022.21 "
5/1/59,"$19,193.21 ","$180,439.97 "
6/1/59,"$19,193.21 ","$180,006.07 "
7/1/59,"$19,130.21 ","$179,169.02 "
8/1/59,"$19,109.21 ","$178,788.34 "
9/1/59,"$19,151.21 ","$178,752.48 "
10/1/59,"$19,256.21 ","$179,120.15 "
11/1/59,"$19,277.21 ","$179,315.49 "
12/1/59,"$19,193.21 ","$178,169.90 "
1/1/60,"$19,256.21 ","$178,998.18 "
2/1/60,"$19,256.21 ","$178,754.72 "
3/1/60,"$19,256.21 ","$178,754.72 "
4/1/60,"$19,256.21 ","$177,968.06 "
5/1/60,"$19,214.21 ","$177,399.73 "
6/1/60,"$19,172.21 ","$176,772.83 "
7/1/60,"$19,172.21 ","$177,131.76 "
8/1/60,"$19,256.21 ","$177,547.33 "
9/1/60,"$19,340.20 ","$178,321.74 "
10/1/60,"$19,403.20 ","$178,060.72 "
11/1/60,"$19,340.20 ","$177,303.78 "
12/1/60,"$19,340.20 ","$177,125.35 "
1/1/61,"$19,340.20 ","$176,947.27 "
2/1/61,"$19,298.20 ","$176,563.01 "
3/1/61,"$19,340.20 ","$176,947.27 "
4/1/61,"$19,256.21 ","$176,356.14 "
5/1/61,"$19,319.20 ","$176,755.14 "
6/1/61,"$19,298.20 ","$176,563.01 "
7/1/61,"$19,361.20 ","$176,665.77 "
8/1/61,"$19,382.20 ","$176,739.25 "
9/1/61,"$19,382.20 ","$176,503.44 "
10/1/61,"$19,382.20 ","$176,503.44 "
11/1/61,"$19,487.20 ","$177,459.62 "
12/1/61,"$19,529.20 ","$177,664.31 "
1/1/62,"$19,550.19 ","$177,677.65 "
2/1/62,"$19,508.20 ","$176,883.85 "
3/1/62,"$19,508.20 ","$176,532.07 "
4/1/62,"$19,508.20 ","$176,298.33 "
5/1/62,"$19,613.19 ","$177,071.30 "
6/1/62,"$19,634.19 ","$177,436.92 "
7/1/62,"$19,634.19 ","$177,378.21 "
8/1/62,"$19,634.19 ","$177,026.73 "
9/1/62,"$19,613.19 ","$176,023.54 "
10/1/62,"$19,571.19 ","$175,877.87 "
11/1/62,"$19,592.19 ","$176,066.59 "
12/1/62,"$19,592.19 ","$176,066.59 "
1/1/63,"$19,613.19 ","$175,907.89 "
2/1/63,"$19,613.19 ","$175,677.04 "
3/1/63,"$19,718.19 ","$176,443.87 "
4/1/63,"$19,802.18 ","$177,369.84 "
