Permit_Number,construction,Homes_Sold,Housing_Starts,Year,Quarter
1727,353065,873,1636,2000,2000Q1
1692,351933,856,1737,2000,2000Q1
1651,353452,900,1604,2000,2000Q1
1597,356188,841,1626,2000,2000Q2
1543,349907,857,1575,2000,2000Q2
1572,348133,793,1559,2000,2000Q2
1542,337374,887,1463,2000,2000Q3
1552,337583,848,1541,2000,2000Q3
1570,339048,912,1507,2000,2000Q3
1577,344095,933,1549,2000,2000Q4
1614,347301,880,1551,2000,2000Q4
1543,344139,983,1532,2000,2000Q4
1699,348279,936,1600,2001,2001Q1
1656,353629,963,1625,2001,2001Q1
1659,350029,939,1590,2001,2001Q1
1666,361991,909,1649,2001,2001Q2
1665,360534,885,1605,2001,2001Q2
1626,365905,882,1636,2001,2001Q2
1598,366500,880,1670,2001,2001Q3
1615,369000,866,1567,2001,2001Q3
1565,368809,853,1562,2001,2001Q3
1566,370957,871,1540,2001,2001Q4
1651,375803,924,1602,2001,2001Q4
1680,376279,979,1568,2001,2001Q4
1665,377631,880,1698,2002,2002Q1
1787,385745,948,1829,2002,2002Q1
1691,385406,923,1642,2002,2002Q1
1669,398990,936,1592,2002,2002Q2
1716,394223,978,1764,2002,2002Q2
1758,401920,957,1717,2002,2002Q2
1738,404632,956,1655,2002,2002Q3
1695,398875,1014,1633,2002,2002Q3
1803,394820,1044,1804,2002,2002Q3
1799,397077,1006,1648,2002,2002Q4
1771,401424,1024,1753,2002,2002Q4
1896,411758,1048,1788,2002,2002Q4
1808,417788,999,1853,2003,2003Q1
1854,417500,936,1629,2003,2003Q1
1757,413303,999,1726,2003,2003Q1
1803,420510,1012,1643,2003,2003Q2
1835,421143,1078,1751,2003,2003Q2
1875,430929,1193,1867,2003,2003Q2
1885,448917,1168,1897,2003,2003Q3
1966,453031,1206,1833,2003,2003Q3
1961,458676,1131,1939,2003,2003Q3
2012,469855,1144,1967,2003,2003Q4
1918,485245,1093,2083,2003,2003Q4
1987,503356,1129,2057,2003,2003Q4
1952,498640,1165,1911,2004,2004Q1
1966,500439,1159,1846,2004,2004Q1
2066,506879,1276,1998,2004,2004Q1
2070,512400,1186,2003,2004,2004Q2
2150,522534,1241,1981,2004,2004Q2
